Date_Time,% On-TimeGateArrivals,AverageBlockDelay,AverageTaxiInDelay,AverageAirborneDelay,AverageAirportDepartureDelay,AverageGateDepartureDelay,AverageGateArrivalDelay
2019-05-15 00:00:00,100.0,1.0,0.98,1.0,42.0,34.33,0.0
2019-05-16 00:00:00,92.31,0.77,1.7,0.62,15.83,5.83,2.62
2019-05-17 00:00:00,45.45,20.18,3.63,18.27,68.5,61.75,33.27
2019-05-18 00:00:00,83.33,2.42,3.64,0.33,36.5,29.75,8.0
2019-05-19 00:00:00,72.73,1.36,2.04,0.73,20.67,14.0,24.64
2019-05-20 00:00:00,78.57,0.21,3.36,0.43,48.5,39.75,28.86
2019-05-21 00:00:00,80.0,0.0,1.78,0.6,24.25,17.25,11.5
2019-05-22 00:00:00,90.0,0.9,1.28,0.3,12.75,6.25,5.8
2019-05-23 00:00:00,81.82,0.09,3.71,1.18,10.0,3.0,10.09
2019-05-24 00:00:00,90.91,1.55,3.78,2.09,12.0,7.0,4.45
2019-05-25 00:00:00,80.0,0.3,3.05,0.6,26.0,15.14,5.8
2019-05-26 00:00:00,80.0,3.5,10.02,1.7,4.33,0.0,4.5
2019-05-27 00:00:00,81.82,1.09,1.99,0.18,16.2,8.6,28.45
2019-05-28 00:00:00,61.54,10.0,11.65,4.77,21.4,17.4,26.54
2019-05-29 00:00:00,90.0,3.3,3.67,1.2,55.0,48.25,5.1
2019-05-30 00:00:00,75.0,3.25,1.73,1.5,12.0,2.86,9.42
2019-05-31 00:00:00,66.67,2.33,3.04,0.25,7.33,0.0,21.58
2019-03-01 01:00:00,0.0,1.0,6.1,0.0,10.57,6.57,41.0
2019-03-02 01:00:00,100.0,0.0,7.1,0.0,11.67,0.0,14.0
2019-03-03 01:00:00,66.67,6.0,1.77,0.33,20.2,11.2,19.33
2019-03-04 01:00:00,0.0,0.0,4.1,0.0,12.8,8.6,65.0
2019-03-05 01:00:00,100.0,0.0,6.1,0.0,10.0,7.33,0.0
2019-03-06 01:00:00,0.0,0.0,0.0,0.0,18.25,14.75,0.0
2019-03-07 01:00:00,0.0,0.0,0.0,0.0,1.5,0.0,0.0
2019-03-08 01:00:00,0.0,11.0,8.1,0.0,9.86,5.43,40.0
2019-03-09 01:00:00,100.0,0.0,1.0,0.0,13.0,7.33,0.0
2019-03-10 01:00:00,0.0,0.0,0.0,0.0,37.0,29.0,0.0
2019-03-11 01:00:00,91.67,1.75,2.57,39.0,18.5,12.5,3.08
2019-03-12 01:00:00,100.0,0.0,3.57,0.25,2.33,0.0,0.0
2019-03-13 01:00:00,100.0,0.33,2.4,1.67,10.0,2.33,0.0
2019-03-14 01:00:00,100.0,0.0,4.1,0.0,39.0,24.83,0.0
2019-03-15 01:00:00,50.0,0.0,2.05,0.0,31.75,23.75,18.0
2019-03-16 01:00:00,33.33,10.0,2.73,8.33,19.17,13.5,13.0
2019-03-17 01:00:00,100.0,0.0,4.1,0.0,0.0,0.0,0.0
2019-03-18 01:00:00,83.33,0.0,4.1,0.0,32.0,27.33,19.0
2019-03-19 01:00:00,100.0,2.0,2.05,0.0,19.5,15.83,0.0
2019-03-20 01:00:00,50.0,0.0,2.55,0.0,7.25,0.0,17.5
2019-03-21 01:00:00,75.0,5.25,3.05,4.5,15.75,12.25,17.0
2019-03-22 01:00:00,50.0,0.5,3.55,0.0,27.2,17.4,8.0
2019-03-23 01:00:00,50.0,1.25,1.57,1.75,16.29,11.29,26.0
2019-03-24 01:00:00,100.0,0.0,6.1,0.0,28.0,17.33,2.0
2019-03-25 01:00:00,66.67,3.33,3.77,0.67,26.5,21.0,11.0
2019-03-26 01:00:00,100.0,3.33,0.07,5.0,15.25,8.5,4.0
2019-03-27 01:00:00,66.67,4.33,0.07,3.33,29.33,25.33,8.33
2019-03-28 01:00:00,50.0,7.5,3.55,1.0,23.17,18.67,23.0
2019-03-29 01:00:00,100.0,0.0,0.05,0.0,13.0,5.4,5.0
2019-03-30 01:00:00,66.67,16.0,6.4,6.67,18.6,13.2,19.67
2019-03-31 01:00:00,100.0,0.0,5.1,1.0,26.5,23.0,0.5
2019-04-01 01:00:00,33.33,0.0,3.4,0.0,39.33,34.33,35.67
2019-04-02 01:00:00,100.0,1.5,1.05,2.5,14.43,10.86,7.0
2019-04-03 01:00:00,100.0,0.0,4.1,5.0,11.0,5.67,3.0
2019-04-04 01:00:00,100.0,0.0,1.05,4.0,24.5,15.67,3.0
2019-04-05 01:00:00,66.67,3.33,3.4,0.0,22.6,17.0,15.33
2019-04-06 01:00:00,100.0,0.0,0.0,2.5,18.25,10.5,0.0
2019-04-07 01:00:00,0.0,8.5,6.1,2.5,2.6,0.0,35.5
2019-04-08 01:00:00,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-09 01:00:00,66.67,0.33,2.7,0.0,16.0,15.33,18.0
2019-04-10 01:00:00,100.0,0.0,4.1,0.0,8.0,0.0,6.5
2019-04-11 01:00:00,0.0,0.0,0.0,0.0,6.0,2.17,0.0
2019-04-12 01:00:00,100.0,0.0,2.0,0.0,36.25,28.75,0.0
2019-04-13 01:00:00,100.0,1.0,4.0,0.0,6.33,0.0,0.0
2019-04-14 01:00:00,0.0,0.0,0.0,0.0,10.5,0.0,0.0
2019-04-15 01:00:00,60.0,8.4,3.44,0.6,51.0,44.0,20.2
2019-04-16 01:00:00,100.0,0.0,1.7,3.33,1.0,0.0,0.0
2019-04-17 01:00:00,0.0,0.0,0.0,0.0,15.0,0.0,0.0
2019-04-18 01:00:00,0.0,0.0,3.5,0.0,0.0,0.0,18.5
2019-04-19 01:00:00,50.0,10.5,4.4,0.5,13.5,6.0,15.0
